"Time","Interface bridge-10.5.0.1(): Bits sent","Interface bridge-10.5.0.1(): Bits received"
2026-07-09 08:06:00,15.5 kb/s,3.11 kb/s
2026-07-09 08:09:00,88.4 kb/s,751 kb/s
2026-07-09 08:12:00,161 kb/s,1.50 Mb/s
2026-07-09 08:15:00,63.4 kb/s,428 kb/s
2026-07-09 08:18:00,88.8 kb/s,503 kb/s
2026-07-09 08:21:00,233 kb/s,2.35 Mb/s
2026-07-09 08:24:00,83.1 kb/s,602 kb/s
2026-07-09 08:27:00,140 kb/s,526 kb/s
2026-07-09 08:30:00,93.0 kb/s,427 kb/s
2026-07-09 08:33:00,115 kb/s,565 kb/s
2026-07-09 08:36:00,178 kb/s,2.17 Mb/s
2026-07-09 08:39:00,161 kb/s,811 kb/s
2026-07-09 08:42:00,857 kb/s,16.5 Mb/s
2026-07-09 08:45:00,903 kb/s,15.6 Mb/s
2026-07-09 08:48:00,1.40 Mb/s,27.9 Mb/s
2026-07-09 08:51:00,2.46 Mb/s,39.3 Mb/s
2026-07-09 08:54:00,1.78 Mb/s,35.0 Mb/s
2026-07-09 08:57:00,1.64 Mb/s,40.1 Mb/s
2026-07-09 09:00:00,1.85 Mb/s,45.3 Mb/s
2026-07-09 09:03:00,1.71 Mb/s,41.8 Mb/s
2026-07-09 09:06:00,1.50 Mb/s,30.0 Mb/s
2026-07-09 09:09:00,1.24 Mb/s,24.5 Mb/s
2026-07-09 09:12:00,875 kb/s,19.5 Mb/s
2026-07-09 09:15:00,927 kb/s,20.2 Mb/s
2026-07-09 09:18:00,966 kb/s,20.3 Mb/s
2026-07-09 09:21:00,881 kb/s,20.5 Mb/s
2026-07-09 09:24:00,906 kb/s,19.1 Mb/s
2026-07-09 09:27:00,1.22 Mb/s,19.7 Mb/s
2026-07-09 09:30:00,1.42 Mb/s,21.8 Mb/s
2026-07-09 09:33:00,1.18 Mb/s,22.5 Mb/s
2026-07-09 09:36:00,1.50 Mb/s,22.6 Mb/s
2026-07-09 09:39:00,1.64 Mb/s,25.7 Mb/s
2026-07-09 09:42:00,1.22 Mb/s,21.9 Mb/s
2026-07-09 09:45:00,1.37 Mb/s,20.2 Mb/s
2026-07-09 09:48:00,1.17 Mb/s,18.5 Mb/s
2026-07-09 09:51:00,1.10 Mb/s,20.7 Mb/s
2026-07-09 09:54:00,1.20 Mb/s,21.4 Mb/s
2026-07-09 09:57:00,1.20 Mb/s,22.5 Mb/s
2026-07-09 10:00:00,1.27 Mb/s,23.8 Mb/s
2026-07-09 10:03:00,1.33 Mb/s,26.4 Mb/s
2026-07-09 10:06:00,1.01 Mb/s,20.5 Mb/s
2026-07-09 10:09:00,1.09 Mb/s,20.6 Mb/s
2026-07-09 10:12:00,989 kb/s,20.8 Mb/s
2026-07-09 10:15:00,2.34 Mb/s,20.3 Mb/s
2026-07-09 10:18:00,2.66 Mb/s,21.6 Mb/s
2026-07-09 10:21:00,1.20 Mb/s,24.3 Mb/s
2026-07-09 10:24:00,866 kb/s,19.8 Mb/s
2026-07-09 10:27:00,1.08 Mb/s,24.5 Mb/s
2026-07-09 10:30:00,1.30 Mb/s,21.1 Mb/s
2026-07-09 10:33:00,1.49 Mb/s,24.5 Mb/s
2026-07-09 10:36:00,1.15 Mb/s,22.6 Mb/s
2026-07-09 10:39:00,1.25 Mb/s,20.6 Mb/s
2026-07-09 10:42:00,1.11 Mb/s,22.0 Mb/s
2026-07-09 10:45:00,1.19 Mb/s,26.6 Mb/s
2026-07-09 10:48:00,1.05 Mb/s,23.3 Mb/s
2026-07-09 10:51:00,809 kb/s,16.5 Mb/s
2026-07-09 10:54:00,1.51 Mb/s,27.5 Mb/s
2026-07-09 10:57:00,871 kb/s,19.3 Mb/s
2026-07-09 11:00:00,884 kb/s,19.6 Mb/s
2026-07-09 11:03:00,1.06 Mb/s,21.9 Mb/s
2026-07-09 11:06:00,1.27 Mb/s,24.2 Mb/s
2026-07-09 11:09:00,1.36 Mb/s,22.2 Mb/s
2026-07-09 11:12:00,1.26 Mb/s,24.6 Mb/s
2026-07-09 11:15:00,1.31 Mb/s,25.9 Mb/s
2026-07-09 11:18:00,1.41 Mb/s,29.4 Mb/s
2026-07-09 11:21:00,1.38 Mb/s,28.2 Mb/s
2026-07-09 11:24:00,1.30 Mb/s,23.6 Mb/s
2026-07-09 11:27:00,1.04 Mb/s,19.0 Mb/s
2026-07-09 11:30:00,830 kb/s,17.6 Mb/s
2026-07-09 11:33:00,957 kb/s,21.2 Mb/s
2026-07-09 11:36:00,864 kb/s,20.1 Mb/s
2026-07-09 11:39:00,1.61 Mb/s,27.0 Mb/s
2026-07-09 11:42:00,1.43 Mb/s,25.8 Mb/s
2026-07-09 11:45:00,810 kb/s,18.1 Mb/s
2026-07-09 11:48:00,840 kb/s,18.6 Mb/s
2026-07-09 11:51:00,966 kb/s,19.4 Mb/s
2026-07-09 11:54:00,1.13 Mb/s,20.3 Mb/s
2026-07-09 11:57:00,599 kb/s,10.5 Mb/s
2026-07-09 12:00:00,285 kb/s,3.67 Mb/s
2026-07-09 12:03:00,230 kb/s,3.40 Mb/s
2026-07-09 12:06:00,260 kb/s,3.82 Mb/s
2026-07-09 12:09:00,289 kb/s,3.92 Mb/s
2026-07-09 12:12:00,317 kb/s,4.07 Mb/s
2026-07-09 12:15:00,2.12 Mb/s,11.2 Mb/s
2026-07-09 12:18:00,626 kb/s,4.17 Mb/s
2026-07-09 12:21:00,3.99 Mb/s,3.76 Mb/s
2026-07-09 12:24:00,506 kb/s,7.49 Mb/s
2026-07-09 12:27:00,218 kb/s,3.47 Mb/s
2026-07-09 12:30:00,473 kb/s,6.97 Mb/s
2026-07-09 12:33:00,312 kb/s,4.29 Mb/s
2026-07-09 12:36:00,559 kb/s,8.44 Mb/s
2026-07-09 12:39:00,683 kb/s,9.43 Mb/s
2026-07-09 12:42:00,457 kb/s,7.63 Mb/s
2026-07-09 12:45:00,209 kb/s,3.87 Mb/s
2026-07-09 12:48:00,230 kb/s,3.67 Mb/s
2026-07-09 12:51:00,234 kb/s,3.93 Mb/s
2026-07-09 12:54:00,220 kb/s,3.62 Mb/s
2026-07-09 12:57:00,242 kb/s,3.58 Mb/s
2026-07-09 13:00:00,180 kb/s,3.38 Mb/s
2026-07-09 13:03:00,253 kb/s,3.67 Mb/s
2026-07-09 13:06:00,3.00 Mb/s,5.05 Mb/s
2026-07-09 13:09:00,446 kb/s,3.96 Mb/s
2026-07-09 13:12:00,1.94 Mb/s,18.4 Mb/s
2026-07-09 13:15:00,3.43 Mb/s,17.0 Mb/s
2026-07-09 13:18:00,3.53 Mb/s,17.1 Mb/s
2026-07-09 13:21:00,3.88 Mb/s,17.1 Mb/s
2026-07-09 13:24:00,3.49 Mb/s,17.4 Mb/s
2026-07-09 13:27:00,3.42 Mb/s,18.4 Mb/s
2026-07-09 13:30:00,3.03 Mb/s,17.7 Mb/s
2026-07-09 13:33:00,2.76 Mb/s,17.8 Mb/s
2026-07-09 13:36:00,2.47 Mb/s,16.5 Mb/s
2026-07-09 13:39:00,2.96 Mb/s,22.6 Mb/s
2026-07-09 13:42:00,2.70 Mb/s,17.0 Mb/s
2026-07-09 13:45:00,2.91 Mb/s,12.6 Mb/s
2026-07-09 13:48:00,3.02 Mb/s,13.1 Mb/s
2026-07-09 13:51:00,2.40 Mb/s,14.5 Mb/s
2026-07-09 13:54:00,3.01 Mb/s,15.9 Mb/s
2026-07-09 13:57:00,3.09 Mb/s,18.0 Mb/s
2026-07-09 14:00:00,3.37 Mb/s,16.0 Mb/s
2026-07-09 14:03:00,2.73 Mb/s,15.8 Mb/s
2026-07-09 14:06:00,2.86 Mb/s,19.9 Mb/s
2026-07-09 14:09:00,3.48 Mb/s,17.0 Mb/s
2026-07-09 14:12:00,2.41 Mb/s,12.3 Mb/s
2026-07-09 14:15:00,3.31 Mb/s,12.8 Mb/s
2026-07-09 14:18:00,1.78 Mb/s,13.0 Mb/s
2026-07-09 14:21:00,915 kb/s,10.5 Mb/s
2026-07-09 14:24:00,1.35 Mb/s,14.0 Mb/s
2026-07-09 14:27:00,2.02 Mb/s,13.2 Mb/s
2026-07-09 14:30:00,2.83 Mb/s,12.6 Mb/s
2026-07-09 14:33:00,1.38 Mb/s,12.1 Mb/s
2026-07-09 14:36:00,704 kb/s,13.9 Mb/s
2026-07-09 14:39:00,771 kb/s,16.4 Mb/s
2026-07-09 14:42:00,2.01 Mb/s,19.9 Mb/s
2026-07-09 14:45:00,1.36 Mb/s,15.0 Mb/s
2026-07-09 14:48:00,721 kb/s,15.5 Mb/s
2026-07-09 14:51:00,697 kb/s,16.4 Mb/s
2026-07-09 14:54:00,1.63 Mb/s,18.1 Mb/s
2026-07-09 14:57:00,1.03 Mb/s,20.8 Mb/s
2026-07-09 15:00:00,2.95 Mb/s,14.9 Mb/s
2026-07-09 15:03:00,795 kb/s,18.4 Mb/s
2026-07-09 15:06:00,1.32 Mb/s,18.5 Mb/s
2026-07-09 15:09:00,1.46 Mb/s,18.5 Mb/s
2026-07-09 15:12:00,771 kb/s,16.7 Mb/s
2026-07-09 15:15:00,1.06 Mb/s,18.6 Mb/s
2026-07-09 15:18:00,1.19 Mb/s,24.1 Mb/s
2026-07-09 15:21:00,1.21 Mb/s,22.3 Mb/s
2026-07-09 15:24:00,972 kb/s,19.2 Mb/s
2026-07-09 15:27:00,1.16 Mb/s,19.1 Mb/s
2026-07-09 15:30:00,3.05 Mb/s,17.6 Mb/s
2026-07-09 15:33:00,10.1 Mb/s,17.6 Mb/s
2026-07-09 15:36:00,9.06 Mb/s,19.0 Mb/s
2026-07-09 15:39:00,828 kb/s,20.5 Mb/s
2026-07-09 15:42:00,838 kb/s,15.6 Mb/s
2026-07-09 15:45:00,804 kb/s,17.5 Mb/s
2026-07-09 15:48:00,1.13 Mb/s,22.0 Mb/s
2026-07-09 15:51:00,846 kb/s,15.7 Mb/s
2026-07-09 15:54:00,1.34 Mb/s,14.8 Mb/s
2026-07-09 15:57:00,828 kb/s,11.5 Mb/s
