"Time","Interface bridge-10.5.0.1(): Bits sent","Interface bridge-10.5.0.1(): Bits received"
2026-07-08 08:36:00,848 b/s,1.50 kb/s
2026-07-08 08:39:00,,
2026-07-08 08:42:00,,
2026-07-08 08:45:00,599 kb/s,12.0 Mb/s
2026-07-08 08:48:00,593 kb/s,6.71 Mb/s
2026-07-08 08:51:00,460 kb/s,2.02 Mb/s
2026-07-08 08:54:00,215 kb/s,856 kb/s
2026-07-08 08:57:00,182 kb/s,889 kb/s
2026-07-08 09:00:00,181 kb/s,430 kb/s
2026-07-08 09:03:00,193 kb/s,669 kb/s
2026-07-08 09:06:00,188 kb/s,561 kb/s
2026-07-08 09:09:00,266 kb/s,2.09 Mb/s
2026-07-08 09:12:00,186 kb/s,830 kb/s
2026-07-08 09:15:00,174 kb/s,489 kb/s
2026-07-08 09:18:00,295 kb/s,691 kb/s
2026-07-08 09:21:00,284 kb/s,2.76 Mb/s
2026-07-08 09:24:00,186 kb/s,676 kb/s
2026-07-08 09:27:00,173 kb/s,521 kb/s
2026-07-08 09:30:00,176 kb/s,583 kb/s
2026-07-08 09:33:00,219 kb/s,1.51 Mb/s
2026-07-08 09:36:00,494 kb/s,7.25 Mb/s
2026-07-08 09:39:00,416 kb/s,5.89 Mb/s
2026-07-08 09:42:00,350 kb/s,3.67 Mb/s
2026-07-08 09:45:00,313 kb/s,2.22 Mb/s
2026-07-08 09:48:00,123 kb/s,63.4 kb/s
2026-07-08 09:51:00,207 kb/s,2.32 Mb/s
2026-07-08 09:54:00,110 kb/s,173 kb/s
2026-07-08 09:57:00,167 kb/s,834 kb/s
2026-07-08 10:00:00,200 kb/s,2.43 Mb/s
2026-07-08 10:03:00,126 kb/s,81.1 kb/s
2026-07-08 10:06:00,207 kb/s,1.59 Mb/s
2026-07-08 10:09:00,1.36 Mb/s,29.0 Mb/s
2026-07-08 10:12:00,1.56 Mb/s,40.0 Mb/s
2026-07-08 10:15:00,1.61 Mb/s,43.5 Mb/s
2026-07-08 10:18:00,1.99 Mb/s,47.0 Mb/s
2026-07-08 10:21:00,1.81 Mb/s,48.0 Mb/s
2026-07-08 10:24:00,1.55 Mb/s,41.4 Mb/s
2026-07-08 10:27:00,2.12 Mb/s,48.1 Mb/s
2026-07-08 10:30:00,2.04 Mb/s,54.8 Mb/s
2026-07-08 10:33:00,1.95 Mb/s,57.6 Mb/s
2026-07-08 10:36:00,1.88 Mb/s,58.8 Mb/s
2026-07-08 10:39:00,1.94 Mb/s,54.9 Mb/s
2026-07-08 10:42:00,1.67 Mb/s,50.9 Mb/s
2026-07-08 10:45:00,1.96 Mb/s,58.1 Mb/s
2026-07-08 10:48:00,1.95 Mb/s,58.2 Mb/s
2026-07-08 10:51:00,2.39 Mb/s,58.3 Mb/s
2026-07-08 10:54:00,1.89 Mb/s,53.7 Mb/s
2026-07-08 10:57:00,1.90 Mb/s,56.0 Mb/s
2026-07-08 11:00:00,2.00 Mb/s,58.4 Mb/s
2026-07-08 11:03:00,1.83 Mb/s,52.2 Mb/s
2026-07-08 11:06:00,1.67 Mb/s,47.3 Mb/s
2026-07-08 11:09:00,1.87 Mb/s,50.3 Mb/s
2026-07-08 11:12:00,1.90 Mb/s,53.4 Mb/s
2026-07-08 11:15:00,2.20 Mb/s,60.2 Mb/s
2026-07-08 11:18:00,2.03 Mb/s,60.9 Mb/s
2026-07-08 11:21:00,2.01 Mb/s,61.6 Mb/s
2026-07-08 11:24:00,1.96 Mb/s,56.0 Mb/s
2026-07-08 11:27:00,1.75 Mb/s,51.8 Mb/s
2026-07-08 11:30:00,1.87 Mb/s,50.9 Mb/s
2026-07-08 11:33:00,1.73 Mb/s,49.9 Mb/s
2026-07-08 11:36:00,1.78 Mb/s,52.6 Mb/s
2026-07-08 11:39:00,1.66 Mb/s,50.3 Mb/s
2026-07-08 11:42:00,1.15 Mb/s,27.5 Mb/s
2026-07-08 11:45:00,342 kb/s,4.78 Mb/s
2026-07-08 11:48:00,223 kb/s,77.8 kb/s
2026-07-08 11:51:00,105 kb/s,561 kb/s
2026-07-08 11:54:00,44.2 kb/s,26.9 kb/s
2026-07-08 11:57:00,40.3 kb/s,13.1 kb/s
2026-07-08 12:00:00,125 kb/s,764 kb/s
2026-07-08 12:03:00,42.4 kb/s,12.6 kb/s
2026-07-08 12:06:00,40.8 kb/s,87.5 kb/s
2026-07-08 12:09:00,234 kb/s,6.12 Mb/s
2026-07-08 12:12:00,719 kb/s,25.1 kb/s
2026-07-08 12:15:00,1.08 Mb/s,38.7 kb/s
2026-07-08 12:18:00,35.4 kb/s,8.86 kb/s
2026-07-08 12:21:00,38.2 kb/s,8.76 kb/s
2026-07-08 12:24:00,40.4 kb/s,12.7 kb/s
2026-07-08 12:27:00,37.6 kb/s,15.7 kb/s
2026-07-08 12:30:00,117 kb/s,256 kb/s
2026-07-08 12:33:00,271 kb/s,184 kb/s
2026-07-08 12:36:00,88.5 kb/s,126 kb/s
2026-07-08 12:39:00,95.0 kb/s,282 kb/s
2026-07-08 12:42:00,111 kb/s,67.3 kb/s
2026-07-08 12:45:00,113 kb/s,742 kb/s
2026-07-08 12:48:00,231 kb/s,1.78 Mb/s
2026-07-08 12:51:00,297 kb/s,4.39 Mb/s
2026-07-08 12:54:00,244 kb/s,3.32 Mb/s
2026-07-08 12:57:00,259 kb/s,2.82 Mb/s
2026-07-08 13:00:00,318 kb/s,2.55 Mb/s
2026-07-08 13:03:00,602 kb/s,2.27 Mb/s
2026-07-08 13:06:00,616 kb/s,1.40 Mb/s
2026-07-08 13:09:00,542 kb/s,193 kb/s
2026-07-08 13:12:00,891 kb/s,730 kb/s
2026-07-08 13:15:00,5.86 Mb/s,4.86 Mb/s
2026-07-08 13:18:00,3.01 Mb/s,11.6 Mb/s
2026-07-08 13:21:00,3.01 Mb/s,17.3 Mb/s
2026-07-08 13:24:00,2.76 Mb/s,15.0 Mb/s
2026-07-08 13:27:00,3.01 Mb/s,17.0 Mb/s
2026-07-08 13:30:00,2.21 Mb/s,9.40 Mb/s
2026-07-08 13:33:00,1.90 Mb/s,8.76 Mb/s
2026-07-08 13:36:00,2.01 Mb/s,8.65 Mb/s
2026-07-08 13:39:00,3.06 Mb/s,11.5 Mb/s
2026-07-08 13:42:00,3.35 Mb/s,12.8 Mb/s
2026-07-08 13:45:00,2.76 Mb/s,15.4 Mb/s
2026-07-08 13:48:00,3.51 Mb/s,18.1 Mb/s
2026-07-08 13:51:00,2.29 Mb/s,17.4 Mb/s
2026-07-08 13:54:00,3.08 Mb/s,17.2 Mb/s
2026-07-08 13:57:00,3.11 Mb/s,16.4 Mb/s
2026-07-08 14:00:00,3.03 Mb/s,13.9 Mb/s
2026-07-08 14:03:00,2.46 Mb/s,16.0 Mb/s
2026-07-08 14:06:00,2.32 Mb/s,9.10 Mb/s
2026-07-08 14:09:00,2.56 Mb/s,14.8 Mb/s
