"Time","Generic SNMP: ICMP ping","Generic SNMP: ICMP response time"
2026-07-08 08:38:00,1,4.53 ms
2026-07-08 08:39:00,1,2.70 ms
2026-07-08 08:40:00,1,870 µs
2026-07-08 08:41:00,1,1.22 ms
2026-07-08 08:42:00,1,12.2 ms
2026-07-08 08:43:00,1,1.53 ms
2026-07-08 08:44:00,1,1.55 ms
2026-07-08 08:45:00,1,1.34 ms
2026-07-08 08:46:00,1,1.40 ms
2026-07-08 08:47:00,1,1.14 ms
2026-07-08 08:48:00,1,954 µs
2026-07-08 08:49:00,1,1.09 ms
2026-07-08 08:50:00,1,1.49 ms
2026-07-08 08:51:00,1,1.02 ms
2026-07-08 08:52:00,1,1.19 ms
2026-07-08 08:53:00,1,1.18 ms
2026-07-08 08:54:00,1,1.57 ms
2026-07-08 08:55:00,1,1.11 ms
2026-07-08 08:56:00,1,1.03 ms
2026-07-08 08:57:00,1,1.03 ms
2026-07-08 08:58:00,1,1.64 ms
2026-07-08 08:59:00,1,1.22 ms
2026-07-08 09:00:00,1,1.18 ms
2026-07-08 09:01:00,1,1.15 ms
2026-07-08 09:02:00,1,1.46 ms
2026-07-08 09:03:00,1,1.23 ms
2026-07-08 09:04:00,1,982 µs
2026-07-08 09:05:00,1,1.17 ms
2026-07-08 09:06:00,1,1.58 ms
2026-07-08 09:07:00,1,1.85 ms
2026-07-08 09:08:00,1,930 µs
2026-07-08 09:09:00,1,1.15 ms
2026-07-08 09:10:00,1,1.22 ms
2026-07-08 09:11:00,1,817 µs
2026-07-08 09:12:00,1,1.20 ms
2026-07-08 09:13:00,1,1.38 ms
2026-07-08 09:14:00,1,1.63 ms
2026-07-08 09:15:00,1,1.16 ms
2026-07-08 09:16:00,1,889 µs
2026-07-08 09:17:00,1,1.30 ms
2026-07-08 09:18:00,1,2.14 ms
2026-07-08 09:19:00,1,1.32 ms
2026-07-08 09:20:00,1,1.34 ms
2026-07-08 09:21:00,1,1.23 ms
2026-07-08 09:22:00,1,1.01 ms
2026-07-08 09:23:00,1,1.01 ms
2026-07-08 09:24:00,1,1.60 ms
2026-07-08 09:25:00,1,1.22 ms
2026-07-08 09:26:00,1,1.13 ms
2026-07-08 09:27:00,1,1.46 ms
2026-07-08 09:28:00,1,1.25 ms
2026-07-08 09:29:00,1,1.26 ms
2026-07-08 09:30:00,1,1.36 ms
2026-07-08 09:31:00,1,1.03 ms
2026-07-08 09:32:00,1,1.12 ms
2026-07-08 09:33:00,1,1.08 ms
2026-07-08 09:34:00,1,1.90 ms
2026-07-08 09:35:00,1,1.20 ms
2026-07-08 09:36:00,1,1.30 ms
2026-07-08 09:37:00,1,1.24 ms
2026-07-08 09:38:00,1,1.77 ms
2026-07-08 09:39:00,1,1.20 ms
