"Time","Interface bridge-10.5.0.1(): Bits sent","Interface bridge-10.5.0.1(): Bits received"
2026-07-07 08:30:00,230 kb/s,3.22 Mb/s
2026-07-07 08:33:00,533 kb/s,6.07 Mb/s
2026-07-07 08:36:00,208 kb/s,1.86 Mb/s
2026-07-07 08:39:00,125 kb/s,839 kb/s
2026-07-07 08:42:00,214 kb/s,1.15 Mb/s
2026-07-07 08:45:00,316 kb/s,3.24 Mb/s
2026-07-07 08:48:00,565 kb/s,6.69 Mb/s
2026-07-07 08:51:00,421 kb/s,4.12 Mb/s
2026-07-07 08:54:00,844 kb/s,9.44 Mb/s
2026-07-07 08:57:00,3.38 Mb/s,4.48 Mb/s
2026-07-07 09:00:00,414 kb/s,3.25 Mb/s
2026-07-07 09:03:00,364 kb/s,8.40 Mb/s
2026-07-07 09:06:00,874 kb/s,13.6 Mb/s
2026-07-07 09:09:00,611 kb/s,6.13 Mb/s
2026-07-07 09:12:00,824 kb/s,6.66 Mb/s
2026-07-07 09:15:00,1.32 Mb/s,14.6 Mb/s
2026-07-07 09:18:00,1.33 Mb/s,11.9 Mb/s
2026-07-07 09:21:00,874 kb/s,6.38 Mb/s
2026-07-07 09:24:00,609 kb/s,4.04 Mb/s
2026-07-07 09:27:00,869 kb/s,4.51 Mb/s
2026-07-07 09:30:00,1.27 Mb/s,11.4 Mb/s
2026-07-07 09:33:00,2.69 Mb/s,6.56 Mb/s
2026-07-07 09:36:00,1.80 Mb/s,29.3 Mb/s
2026-07-07 09:39:00,1.71 Mb/s,24.3 Mb/s
2026-07-07 09:42:00,1.49 Mb/s,23.4 Mb/s
2026-07-07 09:45:00,2.37 Mb/s,19.3 Mb/s
2026-07-07 09:48:00,2.54 Mb/s,22.4 Mb/s
2026-07-07 09:51:00,1.66 Mb/s,25.5 Mb/s
2026-07-07 09:54:00,1.17 Mb/s,12.5 Mb/s
2026-07-07 09:57:00,1.15 Mb/s,5.59 Mb/s
2026-07-07 10:00:00,3.36 Mb/s,4.96 Mb/s
2026-07-07 10:03:00,8.62 Mb/s,2.23 Mb/s
2026-07-07 10:06:00,7.62 Mb/s,5.11 Mb/s
2026-07-07 10:09:00,1.21 Mb/s,11.0 Mb/s
2026-07-07 10:12:00,1.44 Mb/s,15.5 Mb/s
2026-07-07 10:15:00,2.15 Mb/s,11.8 Mb/s
2026-07-07 10:18:00,1.36 Mb/s,8.70 Mb/s
2026-07-07 10:21:00,844 kb/s,2.59 Mb/s
2026-07-07 10:24:00,1.33 Mb/s,5.63 Mb/s
2026-07-07 10:27:00,1.90 Mb/s,9.67 Mb/s
2026-07-07 10:30:00,1.00 Mb/s,4.24 Mb/s
2026-07-07 10:33:00,1.16 Mb/s,7.47 Mb/s
2026-07-07 10:36:00,1.09 Mb/s,7.22 Mb/s
2026-07-07 10:39:00,1.65 Mb/s,12.5 Mb/s
2026-07-07 10:42:00,1.35 Mb/s,8.34 Mb/s
2026-07-07 10:45:00,1.65 Mb/s,18.4 Mb/s
2026-07-07 10:48:00,1.46 Mb/s,12.8 Mb/s
2026-07-07 10:51:00,1.37 Mb/s,7.27 Mb/s
2026-07-07 10:54:00,1.21 Mb/s,6.99 Mb/s
2026-07-07 10:57:00,9.48 Mb/s,10.9 Mb/s
2026-07-07 11:00:00,10.9 Mb/s,11.6 Mb/s
2026-07-07 11:03:00,5.85 Mb/s,6.15 Mb/s
2026-07-07 11:06:00,1.06 Mb/s,8.73 Mb/s
2026-07-07 11:09:00,936 kb/s,8.84 Mb/s
2026-07-07 11:12:00,810 kb/s,10.4 Mb/s
2026-07-07 11:15:00,1.13 Mb/s,4.70 Mb/s
2026-07-07 11:18:00,1.72 Mb/s,13.2 Mb/s
2026-07-07 11:21:00,4.79 Mb/s,16.9 Mb/s
2026-07-07 11:24:00,3.19 Mb/s,19.5 Mb/s
2026-07-07 11:27:00,3.40 Mb/s,19.5 Mb/s
2026-07-07 11:30:00,2.05 Mb/s,16.8 Mb/s
2026-07-07 11:33:00,707 kb/s,7.93 Mb/s
2026-07-07 11:36:00,933 kb/s,9.16 Mb/s
2026-07-07 11:39:00,787 kb/s,10.4 Mb/s
2026-07-07 11:42:00,874 kb/s,10.6 Mb/s
2026-07-07 11:45:00,364 kb/s,4.65 Mb/s
2026-07-07 11:48:00,377 kb/s,5.35 Mb/s
2026-07-07 11:51:00,496 kb/s,5.38 Mb/s
2026-07-07 11:54:00,588 kb/s,5.02 Mb/s
2026-07-07 11:57:00,470 kb/s,3.57 Mb/s
2026-07-07 12:00:00,508 kb/s,4.07 Mb/s
2026-07-07 12:03:00,2.72 Mb/s,3.09 Mb/s
2026-07-07 12:06:00,1.80 Mb/s,1.87 Mb/s
2026-07-07 12:09:00,258 kb/s,1.56 Mb/s
2026-07-07 12:12:00,449 kb/s,3.07 Mb/s
2026-07-07 12:15:00,687 kb/s,8.57 Mb/s
2026-07-07 12:18:00,1.28 Mb/s,17.2 Mb/s
2026-07-07 12:21:00,952 kb/s,11.4 Mb/s
2026-07-07 12:24:00,955 kb/s,9.35 Mb/s
2026-07-07 12:27:00,406 kb/s,4.06 Mb/s
2026-07-07 12:30:00,688 kb/s,3.13 Mb/s
2026-07-07 12:33:00,551 kb/s,4.96 Mb/s
2026-07-07 12:36:00,478 kb/s,3.67 Mb/s
2026-07-07 12:39:00,1.13 Mb/s,5.33 Mb/s
2026-07-07 12:42:00,1.17 Mb/s,11.0 Mb/s
2026-07-07 12:45:00,1.50 Mb/s,18.5 Mb/s
2026-07-07 12:48:00,1.44 Mb/s,26.9 Mb/s
2026-07-07 12:51:00,746 kb/s,21.6 Mb/s
2026-07-07 12:54:00,793 kb/s,16.3 Mb/s
2026-07-07 12:57:00,638 kb/s,6.24 Mb/s
2026-07-07 13:00:00,890 kb/s,2.81 Mb/s
2026-07-07 13:03:00,1.18 Mb/s,5.41 Mb/s
2026-07-07 13:06:00,1.47 Mb/s,2.54 Mb/s
2026-07-07 13:09:00,2.00 Mb/s,738 kb/s
2026-07-07 13:12:00,2.54 Mb/s,8.02 Mb/s
2026-07-07 13:15:00,1.62 Mb/s,513 kb/s
2026-07-07 13:18:00,2.09 Mb/s,444 kb/s
2026-07-07 13:21:00,3.28 Mb/s,3.01 Mb/s
2026-07-07 13:24:00,2.54 Mb/s,1.23 Mb/s
2026-07-07 13:27:00,2.39 Mb/s,1.13 Mb/s
2026-07-07 13:30:00,5.12 Mb/s,2.66 Mb/s
2026-07-07 13:33:00,2.03 Mb/s,1.24 Mb/s
2026-07-07 13:36:00,1.83 Mb/s,401 kb/s
2026-07-07 13:39:00,2.33 Mb/s,257 kb/s
2026-07-07 13:42:00,2.53 Mb/s,3.84 Mb/s
2026-07-07 13:45:00,2.66 Mb/s,4.13 Mb/s
2026-07-07 13:48:00,3.05 Mb/s,4.16 Mb/s
2026-07-07 13:51:00,2.53 Mb/s,2.91 Mb/s
2026-07-07 13:54:00,2.76 Mb/s,3.46 Mb/s
2026-07-07 13:57:00,1.31 Mb/s,767 kb/s
2026-07-07 14:00:00,720 kb/s,1.47 Mb/s
2026-07-07 14:03:00,2.50 Mb/s,448 kb/s
2026-07-07 14:06:00,2.92 Mb/s,247 kb/s
2026-07-07 14:09:00,634 kb/s,269 kb/s
2026-07-07 14:12:00,602 kb/s,150 kb/s
2026-07-07 14:15:00,635 kb/s,286 kb/s
2026-07-07 14:18:00,618 kb/s,392 kb/s
2026-07-07 14:21:00,565 kb/s,223 kb/s
2026-07-07 14:24:00,149 kb/s,222 kb/s
2026-07-07 14:27:00,131 kb/s,184 kb/s
2026-07-07 14:30:00,142 kb/s,628 kb/s
2026-07-07 14:33:00,486 kb/s,9.25 Mb/s
2026-07-07 14:36:00,1.09 Mb/s,9.70 Mb/s
2026-07-07 14:39:00,2.61 Mb/s,3.71 Mb/s
2026-07-07 14:42:00,305 kb/s,2.82 Mb/s
2026-07-07 14:45:00,183 kb/s,149 kb/s
2026-07-07 14:48:00,327 kb/s,1.84 Mb/s
2026-07-07 14:51:00,475 kb/s,2.86 Mb/s
2026-07-07 14:54:00,238 kb/s,680 kb/s
2026-07-07 14:57:00,212 kb/s,362 kb/s
2026-07-07 15:00:00,363 kb/s,3.53 Mb/s
2026-07-07 15:03:00,561 kb/s,7.40 Mb/s
2026-07-07 15:06:00,318 kb/s,2.78 Mb/s
2026-07-07 15:09:00,228 kb/s,885 kb/s
2026-07-07 15:12:00,243 kb/s,2.29 Mb/s
2026-07-07 15:15:00,426 kb/s,9.02 Mb/s
2026-07-07 15:18:00,187 kb/s,1.40 Mb/s
2026-07-07 15:21:00,261 kb/s,1.90 Mb/s
2026-07-07 15:24:00,166 kb/s,748 kb/s
2026-07-07 15:27:00,224 kb/s,1.42 Mb/s
2026-07-07 15:30:00,291 kb/s,2.17 Mb/s
2026-07-07 15:33:00,213 kb/s,2.65 Mb/s
2026-07-07 15:36:00,135 kb/s,89.5 kb/s
2026-07-07 15:39:00,134 kb/s,591 kb/s
