"Time","Generic SNMP: ICMP ping","Generic SNMP: ICMP response time"
2026-07-07 08:30:00,1,1.63 ms
2026-07-07 08:31:00,1,1.11 ms
2026-07-07 08:32:00,1,1.21 ms
2026-07-07 08:33:00,1,1.11 ms
2026-07-07 08:34:00,1,1.30 ms
2026-07-07 08:35:00,1,2.25 ms
2026-07-07 08:36:00,1,1.13 ms
2026-07-07 08:37:00,1,1.09 ms
2026-07-07 08:38:00,1,1.17 ms
2026-07-07 08:39:00,1,943 µs
2026-07-07 08:40:00,1,1.20 ms
2026-07-07 08:41:00,1,1.13 ms
2026-07-07 08:42:00,1,1.24 ms
2026-07-07 08:43:00,1,1.59 ms
2026-07-07 08:44:00,1,936 µs
2026-07-07 08:45:00,1,924 µs
2026-07-07 08:46:00,1,1.18 ms
2026-07-07 08:47:00,1,1.93 ms
2026-07-07 08:48:00,1,1.33 ms
2026-07-07 08:49:00,1,1.36 ms
2026-07-07 08:50:00,1,1.50 ms
2026-07-07 08:51:00,1,1.24 ms
2026-07-07 08:52:00,1,1.10 ms
2026-07-07 08:53:00,1,1.28 ms
2026-07-07 08:54:00,1,1.38 ms
2026-07-07 08:55:00,1,1.35 ms
2026-07-07 08:56:00,1,1.33 ms
2026-07-07 08:57:00,1,1.11 ms
2026-07-07 08:58:00,1,2.05 ms
2026-07-07 08:59:00,1,1.34 ms
2026-07-07 09:00:00,1,11.9 ms
2026-07-07 09:01:00,1,1.28 ms
2026-07-07 09:02:00,1,1.34 ms
2026-07-07 09:03:00,1,1.86 ms
2026-07-07 09:04:00,1,1.36 ms
2026-07-07 09:05:00,1,1.06 ms
2026-07-07 09:06:00,1,1.64 ms
2026-07-07 09:07:00,1,1.24 ms
2026-07-07 09:08:00,1,1.15 ms
2026-07-07 09:09:00,1,1.71 ms
2026-07-07 09:10:00,1,1.17 ms
2026-07-07 09:11:00,1,1.37 ms
2026-07-07 09:12:00,1,1.26 ms
2026-07-07 09:13:00,1,1.67 ms
2026-07-07 09:14:00,1,2.96 ms
2026-07-07 09:15:00,1,1.25 ms
2026-07-07 09:16:00,1,1.04 ms
2026-07-07 09:17:00,1,1.49 ms
2026-07-07 09:18:00,1,1.63 ms
2026-07-07 09:19:00,1,1.13 ms
2026-07-07 09:20:00,1,1.54 ms
2026-07-07 09:21:00,1,1.18 ms
2026-07-07 09:22:00,1,1.03 ms
2026-07-07 09:23:00,1,1.15 ms
2026-07-07 09:24:00,1,1.13 ms
2026-07-07 09:25:00,1,1.32 ms
2026-07-07 09:26:00,1,1.53 ms
2026-07-07 09:27:00,1,963 µs
2026-07-07 09:28:00,1,956 µs
2026-07-07 09:29:00,1,1.29 ms
2026-07-07 09:30:00,1,1.55 ms
2026-07-07 09:31:00,1,1.26 ms
2026-07-07 09:32:00,1,1.12 ms
2026-07-07 09:33:00,1,1.18 ms
2026-07-07 09:34:00,1,1.26 ms
2026-07-07 09:35:00,1,1.11 ms
2026-07-07 09:36:00,1,1.67 ms
2026-07-07 09:37:00,1,1.13 ms
2026-07-07 09:38:00,1,1.15 ms
2026-07-07 09:39:00,1,1.10 ms
2026-07-07 09:40:00,1,1.12 ms
2026-07-07 09:41:00,1,1.41 ms
2026-07-07 09:42:00,1,1.62 ms
2026-07-07 09:43:00,1,1.41 ms
2026-07-07 09:44:00,1,827 µs
2026-07-07 09:45:00,1,1.22 ms
2026-07-07 09:46:00,1,1.05 ms
2026-07-07 09:47:00,1,1.51 ms
2026-07-07 09:48:00,1,1.92 ms
2026-07-07 09:49:00,1,871 µs
2026-07-07 09:50:00,1,1.23 ms
2026-07-07 09:51:00,1,1.86 ms
2026-07-07 09:52:00,1,1.15 ms
2026-07-07 09:53:00,1,1.55 ms
2026-07-07 09:54:00,1,1.20 ms
2026-07-07 09:55:00,1,987 µs
2026-07-07 09:56:00,1,1.03 ms
2026-07-07 09:57:00,1,1.33 ms
2026-07-07 09:58:00,1,1.09 ms
2026-07-07 09:59:00,1,1.15 ms
2026-07-07 10:00:00,1,976 µs
2026-07-07 10:01:00,1,1.63 ms
2026-07-07 10:02:00,1,1.34 ms
2026-07-07 10:03:00,1,1.16 ms
2026-07-07 10:04:00,1,2.15 ms
2026-07-07 10:05:00,1,1.12 ms
2026-07-07 10:06:00,1,1.24 ms
2026-07-07 10:07:00,1,1.22 ms
2026-07-07 10:08:00,1,1.31 ms
2026-07-07 10:09:00,1,1.00 ms
2026-07-07 10:10:00,1,1.62 ms
2026-07-07 10:11:00,1,1.33 ms
2026-07-07 10:12:00,1,1.63 ms
2026-07-07 10:13:00,1,1.53 ms
2026-07-07 10:14:00,1,1.14 ms
2026-07-07 10:15:00,1,1.20 ms
2026-07-07 10:16:00,1,1.21 ms
2026-07-07 10:17:00,1,1.07 ms
2026-07-07 10:18:00,1,1.26 ms
2026-07-07 10:19:00,1,1.19 ms
2026-07-07 10:20:00,1,1.37 ms
2026-07-07 10:21:00,1,1.01 ms
2026-07-07 10:22:00,1,2.08 ms
2026-07-07 10:23:00,1,1.08 ms
2026-07-07 10:24:00,1,1.35 ms
2026-07-07 10:25:00,1,1.16 ms
2026-07-07 10:26:00,1,1.04 ms
2026-07-07 10:27:00,1,1.48 ms
2026-07-07 10:28:00,1,1.45 ms
2026-07-07 10:29:00,1,2.23 ms
2026-07-07 10:30:00,1,1.34 ms
2026-07-07 10:31:00,1,1.05 ms
2026-07-07 10:32:00,1,1.52 ms
2026-07-07 10:33:00,1,1.65 ms
2026-07-07 10:34:00,1,1.16 ms
2026-07-07 10:35:00,1,1.01 ms
2026-07-07 10:36:00,1,2.02 ms
2026-07-07 10:37:00,1,1.55 ms
2026-07-07 10:38:00,1,1.08 ms
2026-07-07 10:39:00,1,1.02 ms
2026-07-07 10:40:00,1,1.02 ms
2026-07-07 10:41:00,1,1.52 ms
2026-07-07 10:42:00,1,1.05 ms
2026-07-07 10:43:00,1,1.21 ms
2026-07-07 10:44:00,1,1.42 ms
2026-07-07 10:45:00,1,2.28 ms
2026-07-07 10:46:00,1,1.21 ms
2026-07-07 10:47:00,1,1.41 ms
2026-07-07 10:48:00,1,1.76 ms
2026-07-07 10:49:00,1,1.73 ms
2026-07-07 10:50:00,1,1.23 ms
2026-07-07 10:51:00,1,868 µs
2026-07-07 10:52:00,1,1.01 ms
2026-07-07 10:53:00,1,1.01 ms
