"Time","Interface bridge-10.5.0.1(): Bits sent"
2026-07-06 09:09:00,10.7 kb/s
2026-07-06 09:12:00,2.46 Mb/s
2026-07-06 09:15:00,1.81 Mb/s
2026-07-06 09:18:00,1.82 Mb/s
2026-07-06 09:21:00,1.34 Mb/s
2026-07-06 09:24:00,778 kb/s
2026-07-06 09:27:00,1.27 Mb/s
2026-07-06 09:30:00,3.37 Mb/s
2026-07-06 09:33:00,1.28 Mb/s
2026-07-06 09:36:00,1.16 Mb/s
2026-07-06 09:39:00,1.12 Mb/s
2026-07-06 09:42:00,3.08 Mb/s
2026-07-06 09:45:00,769 kb/s
2026-07-06 09:48:00,666 kb/s
2026-07-06 09:51:00,956 kb/s
2026-07-06 09:54:00,1.95 Mb/s
2026-07-06 09:57:00,2.23 Mb/s
2026-07-06 10:00:00,1.66 Mb/s
2026-07-06 10:03:00,1.88 Mb/s
2026-07-06 10:06:00,1.95 Mb/s
2026-07-06 10:09:00,3.98 Mb/s
2026-07-06 10:12:00,1.84 Mb/s
2026-07-06 10:15:00,1.37 Mb/s
2026-07-06 10:18:00,1.62 Mb/s
2026-07-06 10:21:00,1.40 Mb/s
2026-07-06 10:24:00,1.48 Mb/s
2026-07-06 10:27:00,698 kb/s
2026-07-06 10:30:00,1.18 Mb/s
2026-07-06 10:33:00,995 kb/s
2026-07-06 10:36:00,448 kb/s
2026-07-06 10:39:00,596 kb/s
2026-07-06 10:42:00,904 kb/s
2026-07-06 10:45:00,1.29 Mb/s
2026-07-06 10:48:00,2.70 Mb/s
2026-07-06 10:51:00,949 kb/s
2026-07-06 10:54:00,1.36 Mb/s
2026-07-06 10:57:00,1.11 Mb/s
2026-07-06 11:00:00,1.91 Mb/s
2026-07-06 11:03:00,1.65 Mb/s
2026-07-06 11:06:00,2.00 Mb/s
2026-07-06 11:09:00,1.54 Mb/s
2026-07-06 11:12:00,1.05 Mb/s
2026-07-06 11:15:00,1.34 Mb/s
2026-07-06 11:18:00,1.53 Mb/s
2026-07-06 11:21:00,1.59 Mb/s
2026-07-06 11:24:00,2.71 Mb/s
2026-07-06 11:27:00,1.54 Mb/s
2026-07-06 11:30:00,868 kb/s
2026-07-06 11:33:00,590 kb/s
2026-07-06 11:36:00,338 kb/s
2026-07-06 11:39:00,994 kb/s
2026-07-06 11:42:00,2.03 Mb/s
2026-07-06 11:45:00,263 kb/s
2026-07-06 11:48:00,544 kb/s
2026-07-06 11:51:00,399 kb/s
2026-07-06 11:54:00,641 kb/s
2026-07-06 11:57:00,415 kb/s
2026-07-06 12:00:00,249 kb/s
2026-07-06 12:03:00,343 kb/s
2026-07-06 12:06:00,581 kb/s
2026-07-06 12:09:00,500 kb/s
2026-07-06 12:12:00,929 kb/s
2026-07-06 12:15:00,968 kb/s
2026-07-06 12:18:00,675 kb/s
2026-07-06 12:21:00,523 kb/s
2026-07-06 12:24:00,566 kb/s
2026-07-06 12:27:00,750 kb/s
2026-07-06 12:30:00,700 kb/s
2026-07-06 12:33:00,830 kb/s
2026-07-06 12:36:00,666 kb/s
2026-07-06 12:39:00,400 kb/s
2026-07-06 12:42:00,280 kb/s
2026-07-06 12:45:00,1.16 Mb/s
2026-07-06 12:48:00,830 kb/s
2026-07-06 12:51:00,2.70 Mb/s
2026-07-06 12:54:00,451 kb/s
2026-07-06 12:57:00,590 kb/s
2026-07-06 13:00:00,535 kb/s
2026-07-06 13:03:00,539 kb/s
2026-07-06 13:06:00,490 kb/s
2026-07-06 13:09:00,362 kb/s
2026-07-06 13:12:00,1.56 Mb/s
2026-07-06 13:15:00,1.31 Mb/s
2026-07-06 13:18:00,595 kb/s
2026-07-06 13:21:00,769 kb/s
2026-07-06 13:24:00,619 kb/s
2026-07-06 13:27:00,856 kb/s
2026-07-06 13:30:00,743 kb/s
2026-07-06 13:33:00,663 kb/s
2026-07-06 13:36:00,845 kb/s
2026-07-06 13:39:00,675 kb/s
2026-07-06 13:42:00,504 kb/s
2026-07-06 13:45:00,531 kb/s
2026-07-06 13:48:00,389 kb/s
2026-07-06 13:51:00,321 kb/s
2026-07-06 13:54:00,197 kb/s
2026-07-06 13:57:00,227 kb/s
2026-07-06 14:00:00,424 kb/s
2026-07-06 14:03:00,244 kb/s
2026-07-06 14:06:00,370 kb/s
2026-07-06 14:09:00,391 kb/s
2026-07-06 14:12:00,451 kb/s
2026-07-06 14:15:00,171 kb/s
2026-07-06 14:18:00,248 kb/s
2026-07-06 14:21:00,273 kb/s
2026-07-06 14:24:00,347 kb/s
2026-07-06 14:27:00,5.75 Mb/s
2026-07-06 14:30:00,3.69 Mb/s
2026-07-06 14:33:00,698 kb/s
2026-07-06 14:36:00,340 kb/s
2026-07-06 14:39:00,366 kb/s
2026-07-06 14:42:00,1.05 Mb/s
2026-07-06 14:45:00,570 kb/s
2026-07-06 14:48:00,335 kb/s
2026-07-06 14:51:00,234 kb/s
2026-07-06 14:54:00,386 kb/s
2026-07-06 14:57:00,2.13 Mb/s
2026-07-06 15:00:00,1.86 Mb/s
2026-07-06 15:03:00,614 kb/s
2026-07-06 15:06:00,461 kb/s
2026-07-06 15:09:00,282 kb/s
2026-07-06 15:12:00,386 kb/s
2026-07-06 15:15:00,339 kb/s
2026-07-06 15:18:00,331 kb/s
2026-07-06 15:21:00,1.09 Mb/s
2026-07-06 15:24:00,1.14 Mb/s
2026-07-06 15:27:00,689 kb/s
2026-07-06 15:30:00,392 kb/s
2026-07-06 15:33:00,719 kb/s
2026-07-06 15:36:00,411 kb/s
2026-07-06 15:39:00,305 kb/s
2026-07-06 15:42:00,348 kb/s
2026-07-06 15:45:00,442 kb/s
2026-07-06 15:48:00,557 kb/s
2026-07-06 15:51:00,814 kb/s
2026-07-06 15:54:00,748 kb/s
2026-07-06 15:57:00,868 kb/s
