"Time","Interface bridge-10.5.0.1(): Bits received"
2026-07-06 09:12:00,23.7 Mb/s
2026-07-06 09:15:00,22.1 Mb/s
2026-07-06 09:18:00,15.5 Mb/s
2026-07-06 09:21:00,15.1 Mb/s
2026-07-06 09:24:00,8.95 Mb/s
2026-07-06 09:27:00,18.7 Mb/s
2026-07-06 09:30:00,10.5 Mb/s
2026-07-06 09:33:00,12.0 Mb/s
2026-07-06 09:36:00,12.3 Mb/s
2026-07-06 09:39:00,6.83 Mb/s
2026-07-06 09:42:00,6.98 Mb/s
2026-07-06 09:45:00,4.47 Mb/s
2026-07-06 09:48:00,3.78 Mb/s
2026-07-06 09:51:00,5.88 Mb/s
2026-07-06 09:54:00,12.9 Mb/s
2026-07-06 09:57:00,20.0 Mb/s
2026-07-06 10:00:00,23.3 Mb/s
2026-07-06 10:03:00,28.4 Mb/s
2026-07-06 10:06:00,27.8 Mb/s
2026-07-06 10:09:00,8.47 Mb/s
2026-07-06 10:12:00,19.0 Mb/s
2026-07-06 10:15:00,19.6 Mb/s
2026-07-06 10:18:00,21.0 Mb/s
2026-07-06 10:21:00,13.6 Mb/s
2026-07-06 10:24:00,11.0 Mb/s
2026-07-06 10:27:00,8.43 Mb/s
2026-07-06 10:30:00,10.6 Mb/s
2026-07-06 10:33:00,7.21 Mb/s
2026-07-06 10:36:00,3.35 Mb/s
2026-07-06 10:39:00,3.18 Mb/s
2026-07-06 10:42:00,13.1 Mb/s
2026-07-06 10:45:00,18.6 Mb/s
2026-07-06 10:48:00,11.0 Mb/s
2026-07-06 10:51:00,7.70 Mb/s
2026-07-06 10:54:00,16.2 Mb/s
2026-07-06 10:57:00,11.3 Mb/s
2026-07-06 11:00:00,21.9 Mb/s
2026-07-06 11:03:00,19.8 Mb/s
2026-07-06 11:06:00,26.5 Mb/s
2026-07-06 11:09:00,17.1 Mb/s
2026-07-06 11:12:00,7.78 Mb/s
2026-07-06 11:15:00,13.3 Mb/s
