hari,Time,latency_ms,packet_loss_percent,bits_sent_mbps,bits_received_mbps,total_traffic_mbps
Senin,2026-07-06 09:12:00,1.0919999999999999,0.0,2.46,23.7,26.16
Senin,2026-07-06 09:15:00,1.1433333333333333,0.0,1.81,22.1,23.91
Senin,2026-07-06 09:18:00,1.163,0.0,1.82,15.5,17.32
Senin,2026-07-06 09:21:00,1.3133333333333332,0.0,1.34,15.1,16.44
Senin,2026-07-06 09:24:00,1.2186666666666666,0.0,0.778,8.95,9.728
Senin,2026-07-06 09:27:00,1.4966666666666668,0.0,1.27,18.7,19.97
Senin,2026-07-06 09:30:00,1.33,0.0,3.37,10.5,13.870000000000001
Senin,2026-07-06 09:33:00,1.3233333333333333,0.0,1.28,12.0,13.28
Senin,2026-07-06 09:36:00,1.2533333333333332,0.0,1.16,12.3,13.46
Senin,2026-07-06 09:39:00,1.83,0.0,1.12,6.83,7.95
Senin,2026-07-06 09:42:00,1.3666666666666665,0.0,3.08,6.98,10.06
Senin,2026-07-06 09:45:00,1.3133333333333332,0.0,0.769,4.47,5.239
Senin,2026-07-06 09:48:00,1.3399999999999999,0.0,0.666,3.78,4.446
Senin,2026-07-06 09:51:00,1.25,0.0,0.956,5.88,6.836
Senin,2026-07-06 09:54:00,2.0066666666666664,0.0,1.95,12.9,14.85
Senin,2026-07-06 09:57:00,1.351,0.0,2.23,20.0,22.23
Senin,2026-07-06 10:00:00,1.4133333333333333,0.0,1.66,23.3,24.96
Senin,2026-07-06 10:03:00,1.0866666666666667,0.0,1.88,28.4,30.279999999999998
Senin,2026-07-06 10:06:00,1.2033333333333334,0.0,1.95,27.8,29.75
Senin,2026-07-06 10:09:00,1.3233333333333333,0.0,3.98,8.47,12.450000000000001
Senin,2026-07-06 10:12:00,1.5999999999999999,0.0,1.84,19.0,20.84
Senin,2026-07-06 10:15:00,1.4466666666666665,0.0,1.37,19.6,20.970000000000002
Senin,2026-07-06 10:18:00,1.3733333333333333,0.0,1.62,21.0,22.62
Senin,2026-07-06 10:21:00,1.4266666666666665,0.0,1.4,13.6,15.0
Senin,2026-07-06 10:24:00,1.5333333333333332,0.0,1.48,11.0,12.48
Senin,2026-07-06 10:27:00,1.8233333333333335,0.0,0.698,8.43,9.128
Senin,2026-07-06 10:30:00,1.38,0.0,1.18,10.6,11.78
Senin,2026-07-06 10:33:00,1.26,0.0,0.995,7.21,8.205
Senin,2026-07-06 10:36:00,1.36,0.0,0.448,3.35,3.798
Senin,2026-07-06 10:39:00,1.4333333333333333,0.0,0.596,3.18,3.7760000000000002
Senin,2026-07-06 10:42:00,1.55,0.0,0.904,13.1,14.004
Senin,2026-07-06 10:45:00,1.1966666666666665,0.0,1.29,18.6,19.89
Senin,2026-07-06 10:48:00,1.2733333333333334,0.0,2.7,11.0,13.7
Senin,2026-07-06 10:51:00,1.2666666666666666,0.0,0.949,7.7,8.649000000000001
Senin,2026-07-06 10:54:00,1.2033333333333334,0.0,1.36,16.2,17.56
Senin,2026-07-06 10:57:00,1.2666666666666666,0.0,1.11,11.3,12.41
Senin,2026-07-06 11:00:00,1.5466666666666666,0.0,1.91,21.9,23.81
Senin,2026-07-06 11:03:00,1.1266666666666667,0.0,1.65,19.8,21.45
Senin,2026-07-06 11:06:00,1.1666666666666667,0.0,2.0,26.5,28.5
Senin,2026-07-06 11:09:00,1.1733333333333333,0.0,1.54,17.1,18.64
Senin,2026-07-06 11:12:00,1.5066666666666666,0.0,1.05,7.78,8.83
Senin,2026-07-06 11:15:00,1.2066666666666668,0.0,1.34,13.3,14.64
Senin,2026-07-06 11:18:00,1.6733333333333331,0.0,1.53,15.5,17.03
Senin,2026-07-06 11:21:00,1.2533333333333332,0.0,1.59,13.1,14.69
Senin,2026-07-06 11:24:00,2.3166666666666664,0.0,2.71,26.7,29.41
Senin,2026-07-06 11:27:00,1.1466666666666667,0.0,1.54,15.6,17.14
Senin,2026-07-06 11:30:00,1.2,0.0,0.868,5.5,6.368
Senin,2026-07-06 11:33:00,1.3033333333333335,0.0,0.59,3.23,3.82
Senin,2026-07-06 11:36:00,1.3533333333333335,0.0,0.338,0.822,1.16
Senin,2026-07-06 11:39:00,1.4100000000000001,0.0,0.994,2.21,3.2039999999999997
Senin,2026-07-06 11:42:00,1.1366666666666667,0.0,2.03,2.1,4.13
Senin,2026-07-06 11:45:00,1.1966666666666665,0.0,0.263,0.674,0.937
Senin,2026-07-06 11:48:00,1.3966666666666665,0.0,0.544,1.56,2.104
Senin,2026-07-06 11:51:00,1.4566666666666668,0.0,0.399,1.9,2.299
Senin,2026-07-06 11:54:00,1.1833333333333333,0.0,0.641,1.35,1.991
Senin,2026-07-06 11:57:00,1.2300000000000002,0.0,0.415,1.95,2.3649999999999998
Senin,2026-07-06 12:00:00,1.22,0.0,0.249,1.58,1.8290000000000002
Senin,2026-07-06 12:03:00,1.2133333333333332,0.0,0.343,4.56,4.903
Senin,2026-07-06 12:06:00,1.1286666666666667,0.0,0.581,4.36,4.941000000000001
Senin,2026-07-06 12:09:00,1.29,0.0,0.5,1.64,2.1399999999999997
Senin,2026-07-06 12:12:00,1.071,0.0,0.929,3.88,4.809
Senin,2026-07-06 12:15:00,1.335,0.0,0.968,6.93,7.898
